# MU g cross error Nb_pass_M4l Nb_pass_all
01 001 0.187412456227 0.00063624839344 10000 1050
10 001 0.187912683703 0.000616470438289 10000 1078
20 001 0.187116500466 0.000541781066262 10000 1111
30 001 0.188253108412 0.000551143758577 10000 1031
40 001 0.187298988746 0.000574446311781 10000 1053
50 001 0.188016287158 0.000543383399881 10000 1027
60 001 0.186775493703 0.000663149795276 10000 1040
70 001 0.188632462035 0.000527881234838 10000 1010
80 001 0.188401667982 0.00064548013112 10000 1024
90 001 0.188373825573 0.000498647892265 10000 1060
01 010 0.188004287188 0.000568504221525 10000 1071
10 010 0.20830620389 0.000649381931614 10000 1104
20 010 0.193948737099 0.000626461542701 10000 1044
30 010 0.189061233752 0.000518295333477 10000 1091
40 010 0.187597389733 0.000583373517716 10000 1078
50 010 0.187538574372 0.000566547031686 10000 1053
60 010 0.187607170955 0.000556272830233 10000 1101
70 010 0.187278117548 0.000537641321646 10000 1046
80 010 0.186508106344 0.00055568518593 10000 1031
90 010 0.187145240146 0.000553883187789 10000 1098
01 020 0.188093470021 0.000477328077875 10000 1064
10 020 0.269730507164 0.00075334867645 10000 1233
20 020 0.212192845118 0.0006567991954 10000 1133
30 020 0.194496169645 0.000546023458157 10000 1055
40 020 0.188882315616 0.000532170733712 10000 1069
50 020 0.18742172688 0.000523822098842 10000 1066
60 020 0.187516024561 0.000563872835042 10000 1020
70 020 0.186912321811 0.0005732829436 10000 1104
80 020 0.188386306233 0.000510200654607 10000 1006
90 020 0.187584493024 0.000676008955952 10000 1095
01 030 0.188982114662 0.000668273086575 10000 1058
10 030 0.373059793791 0.000978947896044 10000 1389
20 030 0.243166269919 0.000594974657298 10000 1288
30 030 0.203368025162 0.000639665826978 10000 1091
40 030 0.19114727671 0.000555530652085 10000 1054
50 030 0.188256764976 0.000561615298462 10000 1039
60 030 0.18780313901 0.000589157076342 10000 1082
70 030 0.187144608279 0.000590329297542 10000 1075
80 030 0.187299703989 0.000602772298611 10000 1055
90 030 0.18673689861 0.000508204637912 10000 1026
01 040 0.190784662932 0.000546361071271 10000 1062
10 040 0.519294077409 0.00135366872859 10000 1526
20 040 0.285834317202 0.000723237442179 10000 1314
30 040 0.215033208752 0.000601455442487 10000 1181
40 040 0.193829361199 0.000571801647022 10000 1098
50 040 0.188744616323 0.000589170403921 10000 1038
60 040 0.188060026202 0.000586059613109 10000 1043
70 040 0.188502833767 0.000670408819761 10000 1081
80 040 0.187387353481 0.000562526513663 10000 1030
90 040 0.187957617808 0.000613293484707 10000 1086
01 050 0.19271354996 0.000661550248997 10000 1091
10 050 0.705526925628 0.00187174958385 10000 1559
20 050 0.340897500535 0.000924989073823 10000 1484
30 050 0.231060550245 0.000674166802322 10000 1264
40 050 0.197433893479 0.00055412973124 10000 1119
50 050 0.188276479174 0.000620042060736 10000 1084
60 050 0.186956210329 0.000605133345651 10000 1034
70 050 0.186740723741 0.000544531705508 10000 1030
80 050 0.187362127391 0.000569772573489 10000 1115
90 050 0.187764982105 0.000583842491698 10000 1023
01 060 0.194769285784 0.000513288175432 10000 1070
10 060 0.934163658177 0.00197705100892 10000 1536
20 060 0.409432965305 0.00101096796323 10000 1532
30 060 0.249848398674 0.000631248616295 10000 1402
40 060 0.2017084695 0.000612422789311 10000 1162
50 060 0.189872124221 0.000566626131837 10000 1052
60 060 0.187453426126 0.000591176843451 10000 1026
70 060 0.187576282027 0.000562937579227 10000 1096
80 060 0.188348981503 0.000549036225892 10000 1087
90 060 0.188675618248 0.000535525108868 10000 1073
01 070 0.199933685272 0.000571535857429 10000 1080
10 070 1.19836865526 0.00298033074243 10000 1602
20 070 0.489516621405 0.00124923365613 10000 1616
30 070 0.270227305765 0.000853049495106 10000 1423
40 070 0.20809690107 0.000556054214037 10000 1243
50 070 0.189890528949 0.000551250645769 10000 1095
60 070 0.186063300619 0.000616633359659 10000 1052
70 070 0.187478882051 0.000579367143809 10000 1018
80 070 0.187095159769 0.000513228838734 10000 1001
90 070 0.187756475776 0.000595494827792 10000 1063
01 080 0.206385991315 0.00061691548672 10000 1130
10 080 1.51221627312 0.00443991568938 10000 1582
20 080 0.581415023858 0.0016480237685 10000 1596
30 080 0.295316522117 0.000859119861355 10000 1504
40 080 0.213090578175 0.000682092457025 10000 1266
50 080 0.192019264571 0.000516822510341 10000 1059
60 080 0.187860620366 0.000569917176736 10000 1060
70 080 0.186710748051 0.000533309705509 10000 1095
80 080 0.186463322232 0.000616371694754 10000 1051
90 080 0.187630935504 0.000559460518979 10000 1029
01 090 0.214322890102 0.000700946377302 10000 1071
10 090 1.85591532387 0.00483714692181 10000 1702
20 090 0.684645864834 0.00185170618179 10000 1693
30 090 0.324282355201 0.000789191218831 10000 1563
40 090 0.219223668593 0.000657433662147 10000 1225
50 090 0.192620619008 0.000629112800949 10000 1096
60 090 0.18716191607 0.000586616593769 10000 987
70 090 0.187421939781 0.000647644515866 10000 1076
80 090 0.187367696064 0.000538887119926 10000 1079
90 090 0.187950905545 0.000586665101337 10000 1021
