# MU g cross error Nb_pass_M4l Nb_pass_all
01 0.01 0.187777102843 0.000533712025865 10000 1033
10 0.01 0.188185882517 0.000563328638634 10000 1066
20 0.01 0.186972507853 0.000632645166244 10000 1071
30 0.01 0.187146744818 0.00048812938369 10000 1072
40 0.01 0.187211815586 0.000620720810766 10000 1059
50 0.01 0.188270205227 0.000598004783151 10000 1036
60 0.01 0.188040160113 0.000567752408478 10000 1045
70 0.01 0.187526532644 0.000697978690785 10000 1072
80 0.01 0.18779125433 0.000565386436435 10000 1039
90 0.01 0.187574230341 0.000552095774172 10000 1066
01 0.10 0.186904620564 0.000636723308078 10000 1039
10 0.10 0.208757852902 0.000581000906239 10000 1118
20 0.10 0.193706394205 0.000543552889697 10000 1084
30 0.10 0.189353190971 0.000605304850316 10000 1051
40 0.10 0.187813665593 0.000526446680488 10000 1042
50 0.10 0.187458322256 0.000522521900421 10000 1120
60 0.10 0.187408837029 0.000582949776053 10000 1086
70 0.10 0.187615800879 0.000524001058375 10000 1034
80 0.10 0.187439702087 0.00051601763663 10000 1090
90 0.10 0.187155223843 0.000688782318477 10000 1016
01 0.20 0.187438607133 0.000541697063953 10000 1038
10 0.20 0.270803202871 0.00069924392054 10000 1228
20 0.20 0.212050100052 0.000585574696908 10000 1143
30 0.20 0.193808439187 0.000574543221528 10000 1091
40 0.20 0.189423249675 0.000642382388447 10000 1007
50 0.20 0.187729431332 0.000499418807546 10000 1091
60 0.20 0.187458738267 0.000519668827338 10000 1003
70 0.20 0.187658820397 0.0005425044075 10000 976
80 0.20 0.187426639767 0.000593798578558 10000 1043
90 0.20 0.18774513771 0.000572968882759 10000 995
01 0.30 0.189384639392 0.000590525567162 10000 1091
10 0.30 0.374966386222 0.00099910101517 10000 1385
20 0.30 0.242192287991 0.000735946127697 10000 1127
30 0.30 0.202408096035 0.000724582960344 10000 1138
40 0.30 0.191718947528 0.000604436753079 10000 1087
50 0.30 0.188789866958 0.000517906402138 10000 1062
60 0.30 0.187142122414 0.000643358616961 10000 1070
70 0.30 0.187170021451 0.000560640404071 10000 1064
80 0.30 0.187453448679 0.000586083036702 10000 1034
90 0.30 0.187855341783 0.000539329753342 10000 1051
01 0.40 0.190429086818 0.000632410589137 10000 1039
10 0.40 0.516821530451 0.0014010938289 10000 1474
20 0.40 0.286050776323 0.000726498735801 10000 1368
30 0.40 0.214754488879 0.000583443486481 10000 1173
40 0.40 0.193753811479 0.000624111994878 10000 1095
50 0.40 0.188777197559 0.000539233972057 10000 1088
60 0.40 0.187093957471 0.000590184941739 10000 992
70 0.40 0.186961851746 0.000582546225499 10000 1042
80 0.40 0.186930994557 0.000556741705105 10000 1018
90 0.40 0.187640606619 0.000624113240943 10000 1041
01 0.50 0.192976493106 0.000577307678602 10000 1060
10 0.50 0.705225008712 0.00155833197802 10000 1497
20 0.50 0.341601215905 0.000885122047555 10000 1455
30 0.50 0.231066922942 0.000642649564196 10000 1269
40 0.50 0.197793832689 0.00060078027392 10000 1109
50 0.50 0.189480991399 0.000588214764106 10000 1060
60 0.50 0.186817961862 0.000539546837731 10000 1032
70 0.50 0.186919799126 0.000607504320528 10000 1033
80 0.50 0.187183367185 0.000610081398274 10000 1059
90 0.50 0.187465173757 0.000582271805194 10000 1053
01 0.60 0.194712026528 0.000637865299482 10000 1041
10 0.60 0.931367417398 0.0024431039834 10000 1560
20 0.60 0.408344967755 0.000990987002039 10000 1452
30 0.60 0.248716873177 0.000666669335412 10000 1336
40 0.60 0.201470118706 0.000617585559971 10000 1184
50 0.60 0.189734568906 0.000588828201981 10000 1124
60 0.60 0.187375022496 0.000561347077118 10000 1022
70 0.60 0.188515161401 0.000559602171824 10000 1059
80 0.60 0.187673696458 0.000664479326803 10000 1065
90 0.60 0.187615264202 0.000608191445231 10000 1011
01 0.70 0.199480306395 0.000578504763915 10000 1067
10 0.70 1.20328217022 0.00300647272762 10000 1569
20 0.70 0.489267862707 0.00117955333311 10000 1657
30 0.70 0.271119377101 0.000670823460201 10000 1366
40 0.70 0.207037763372 0.000544407623673 10000 1193
50 0.70 0.190036197315 0.000534181462565 10000 1071
60 0.70 0.187198161589 0.00054473704755 10000 1071
70 0.70 0.186928061506 0.000575711198514 10000 1063
80 0.70 0.187310917828 0.000527540488114 10000 1060
90 0.70 0.188813728432 0.000510183329355 10000 1078
01 0.80 0.205503661849 0.000686953686476 10000 1105
10 0.80 1.50919391997 0.00399175143349 10000 1660
20 0.80 0.581608629011 0.0013601824198 10000 1670
30 0.80 0.295460656223 0.000853727884995 10000 1401
40 0.80 0.212381011498 0.000592860035852 10000 1190
50 0.80 0.191673009901 0.000583292739674 10000 1117
60 0.80 0.187302689478 0.000562018984439 10000 1064
70 0.80 0.187143388966 0.000599437059924 10000 1036
80 0.80 0.187157397766 0.000635105092857 10000 1110
90 0.80 0.186685846882 0.000512451821359 10000 1052
01 0.90 0.212545665149 0.000728810092155 10000 1083
10 0.90 1.86060307799 0.0040610153708 10000 1687
20 0.90 0.68586099574 0.0016468268337 10000 1638
30 0.90 0.325026042704 0.000891452983678 10000 1503
40 0.90 0.218805260819 0.0005938643069 10000 1263
50 0.90 0.19194169879 0.000573640994735 10000 1069
60 0.90 0.186922631977 0.000487165478446 10000 1096
70 0.90 0.186895071509 0.000539345542692 10000 1100
80 0.90 0.186469643545 0.000610746355676 10000 1059
90 0.90 0.187097767366 0.000603968704178 10000 1044
