# MU g width error Nb_pass_M4l Nb_pass_all
05 0.01 1.22134096264e-05 3.69883442123e-08 10000 2459
10 0.01 1.2242721778e-05 4.19114959437e-08 10000 2532
40 0.01 1.22167838168e-05 3.53390530885e-08 10000 2439
70 0.01 1.22031740872e-05 3.8330393253e-08 10000 2479
05 0.10 1.77582205392e-05 4.52652764584e-08 10000 2629
10 0.10 1.51121183506e-05 4.34924367997e-08 10000 2619
40 0.10 1.22599594041e-05 3.7917362736e-08 10000 2455
70 0.10 1.22012053814e-05 3.91600387441e-08 10000 2486
05 0.40 0.000102087103822 1.94839205497e-07 10000 2977
10 0.40 5.82567843004e-05 1.05676538918e-07 10000 2982
40 0.40 1.30483154259e-05 4.37745022944e-08 10000 2651
70 0.40 1.21918161963e-05 3.66925916312e-08 10000 2556
05 0.70 0.000287058876138 4.53493100055e-07 10000 3036
10 0.70 0.000152546324912 2.70847056772e-07 10000 3018
40 0.70 1.47990025275e-05 3.85612849534e-08 10000 2927
70 0.70 1.21768631071e-05 3.88077753159e-08 10000 2528
05 0.02 1.24289747147e-05 3.67438385038e-08 10000 2553
05 0.05 1.3619842501e-05 3.99866573288e-08 10000 2529
05 0.15 2.48170732833e-05 5.38220406663e-08 10000 2756
05 0.20 3.46485749112e-05 7.09887736049e-08 10000 2900
05 0.25 4.74631810218e-05 1.05467211002e-07 10000 2939
05 0.30 6.26518844181e-05 1.27800142547e-07 10000 2965
05 0.35 8.09424901981e-05 1.64302680708e-07 10000 2936
05 0.45 0.000125728395569 2.28817385425e-07 10000 2987
05 0.50 0.000152254602669 2.59682977859e-07 10000 3032
05 0.60 0.000213427794824 4.20844314114e-07 10000 3048
40 0.02 1.21652275375e-05 3.84791708939e-08 10000 2540
40 0.05 1.22925142097e-05 3.79231304994e-08 10000 2503
40 0.15 1.23424305126e-05 4.06154045468e-08 10000 2569
40 0.20 1.24429126451e-05 3.68290217844e-08 10000 2575
40 0.25 1.25199446568e-05 3.75589429052e-08 10000 2606
40 0.30 1.26805426985e-05 4.68825145467e-08 10000 2621
40 0.35 1.28540373998e-05 4.02474361789e-08 10000 2487
40 0.45 1.32966995459e-05 3.89592118773e-08 10000 2645
40 0.50 1.35865725774e-05 3.87244869057e-08 10000 2721
40 0.60 1.41059221621e-05 4.31649133251e-08 10000 2722
70 0.02 1.21785406721e-05 3.41270075831e-08 10000 2552
70 0.05 1.22419186214e-05 3.33228796464e-08 10000 2444
70 0.15 1.22409773092e-05 3.73419388504e-08 10000 2481
70 0.20 1.21656845895e-05 4.03886290852e-08 10000 2492
70 0.25 1.22202206477e-05 4.72545042123e-08 10000 2454
70 0.30 1.21974607893e-05 4.00968818397e-08 10000 2534
70 0.35 1.22247845985e-05 4.96405520601e-08 10000 2480
70 0.45 1.21278040394e-05 4.3289347817e-08 10000 2612
70 0.50 1.21574977425e-05 3.73946426261e-08 10000 2570
70 0.60 1.2227524027e-05 3.76677843515e-08 10000 2433
10 0.02 1.23098355161e-05 3.431710585e-08 10000 2513
10 0.05 1.29208153193e-05 3.52849348094e-08 10000 2605
10 0.15 1.86340045957e-05 4.62812375809e-08 10000 2721
10 0.20 2.37201699887e-05 6.17291737929e-08 10000 2838
10 0.25 3.01297758481e-05 5.79048628433e-08 10000 2954
10 0.30 3.80136818816e-05 7.41074057017e-08 10000 2968
10 0.35 4.72641849691e-05 9.7196892752e-08 10000 3007
10 0.45 7.01561851294e-05 1.38035550811e-07 10000 3056
10 0.50 8.38384814201e-05 1.68463976144e-07 10000 3162
10 0.60 0.000115583663101 2.0476922872e-07 10000 3034
