# MU g width error Nb_pass_M4l Nb_pass_all
05 0.01 1.22134096264e-05 3.69883442123e-08 10000 2459
06 0.01 1.22808649829e-05 3.52297999254e-08 10000 2493
08 0.01 1.22449411475e-05 3.61203057768e-08 10000 2469
10 0.01 1.2242721778e-05 4.19114959437e-08 10000 2532
15 0.01 1.22001020795e-05 3.59949178975e-08 10000 2580
18 0.01 1.22239961962e-05 3.79254506868e-08 10000 2542
20 0.01 1.22366790263e-05 3.87504735128e-08 10000 2495
25 0.01 1.2203728048e-05 3.80112235537e-08 10000 2509
30 0.01 1.22465652763e-05 3.64898398071e-08 10000 2481
35 0.01 1.21751028422e-05 3.67270013323e-08 10000 2478
40 0.01 1.22167838168e-05 3.53390530885e-08 10000 2439
50 0.01 1.22381255564e-05 4.02240588765e-08 10000 2544
60 0.01 1.22091204254e-05 3.93441615402e-08 10000 2520
70 0.01 1.22031740872e-05 3.8330393253e-08 10000 2479
05 0.10 1.77582205392e-05 4.52652764584e-08 10000 2629
06 0.10 1.70450371348e-05 5.14955172504e-08 10000 2696
08 0.10 1.58984135945e-05 4.04411773669e-08 10000 2685
10 0.10 1.51121183506e-05 4.34924367997e-08 10000 2619
15 0.10 1.36587223746e-05 4.40333420065e-08 10000 2605
18 0.10 1.33349719327e-05 4.34620108024e-08 10000 2590
20 0.10 1.29991106905e-05 4.00615824921e-08 10000 2548
25 0.10 1.26688914991e-05 4.09491064782e-08 10000 2460
30 0.10 1.24069460076e-05 3.83266516628e-08 10000 2556
35 0.10 1.23074845537e-05 3.35757395145e-08 10000 2543
40 0.10 1.22599594041e-05 3.7917362736e-08 10000 2455
50 0.10 1.22263914998e-05 3.53018252833e-08 10000 2441
60 0.10 1.22535843246e-05 3.42811976939e-08 10000 2446
70 0.10 1.22012053814e-05 3.91600387441e-08 10000 2486
05 0.40 0.000102087103822 1.94839205497e-07 10000 2977
06 0.40 9.02040940594e-05 1.60915213746e-07 10000 2991
08 0.40 7.17601945211e-05 1.55325673224e-07 10000 2940
10 0.40 5.82567843004e-05 1.05676538918e-07 10000 2982
15 0.40 3.68496394619e-05 8.00050054663e-08 10000 3008
18 0.40 2.92084044015e-05 6.75620475193e-08 10000 3039
20 0.40 2.55390706317e-05 4.9721618728e-08 10000 2984
25 0.40 1.92608309731e-05 5.08943602866e-08 10000 3028
30 0.40 1.58165561396e-05 5.04503887036e-08 10000 2813
35 0.40 1.40456498219e-05 4.17373927206e-08 10000 2582
40 0.40 1.30483154259e-05 4.37745022944e-08 10000 2651
50 0.40 1.23170823758e-05 3.5228840837e-08 10000 2503
60 0.40 1.22092627073e-05 3.68382508325e-08 10000 2508
70 0.40 1.21918161963e-05 3.66925916312e-08 10000 2556
05 0.70 0.000287058876138 4.53493100055e-07 10000 3036
06 0.70 0.000251381566447 5.07416429222e-07 10000 3152
08 0.70 0.000193938054453 4.14124186187e-07 10000 3061
10 0.70 0.000152546324912 2.70847056772e-07 10000 3018
15 0.70 8.7622716657e-05 1.83299245168e-07 10000 3147
18 0.70 6.41541546428e-05 1.20180582981e-07 10000 3385
20 0.70 5.27709331487e-05 1.01257135217e-07 10000 3234
25 0.70 3.37798948742e-05 7.32488959804e-08 10000 3290
30 0.70 2.32990970295e-05 6.22155961724e-08 10000 3025
35 0.70 1.77161139621e-05 4.42422502058e-08 10000 2787
40 0.70 1.47990025275e-05 3.85612849534e-08 10000 2927
50 0.70 1.25782385566e-05 4.25203307434e-08 10000 2602
60 0.70 1.21878520411e-05 3.38477988907e-08 10000 2558
70 0.70 1.21768631071e-05 3.88077753159e-08 10000 2528
