# MU g cross error Nb_pass_M4l Nb_pass_all
05 0.01 0.05438252 0.000189422766583 10000 890
06 0.01 0.04632258 0.000128181649892 10000 907
08 0.01 0.03446143 0.000119860209219 10000 1094
10 0.01 0.02624921 8.71025436169e-05 10000 1255
15 0.01 0.01430346 3.66080105857e-05 10000 1669
18 0.01 0.0102278 3.03340203898e-05 10000 1979
20 0.01 0.00823477 2.49557036703e-05 10000 2112
25 0.01 0.004840023 9.92840829938e-06 10000 2368
30 0.01 0.00284794 5.66426897929e-06 10000 2455
35 0.01 0.001661509 3.51729340857e-06 10000 2208
40 0.01 0.000944552 1.78344247678e-06 10000 2661
50 0.01 0.0002719199 4.86655511357e-07 10000 3167
60 0.01 6.025404e-05 1.36083649139e-07 10000 2927
70 0.01 8.11775e-06 1.69992410454e-08 10000 2308
05 0.10 5.465743 0.0161966302069 10000 899
06 0.10 4.628594 0.0142820611685 10000 925
08 0.10 3.424182 0.0123431312115 10000 1060
10 0.10 2.618697 0.00881843942346 10000 1215
15 0.10 1.431892 0.00389985975195 10000 1739
18 0.10 1.023828 0.00304100476108 10000 2015
20 0.10 0.82201 0.00218799435886 10000 2156
25 0.10 0.4843767 0.00101813721162 10000 2300
30 0.10 0.2838379 0.000617160565911 10000 2293
35 0.10 0.1653123 0.000320190905748 10000 2258
40 0.10 0.0943041 0.000180258406963 10000 2653
50 0.10 0.02706475 5.02725166556e-05 10000 3200
60 0.10 0.006025416 1.19318069686e-05 10000 2933
70 0.10 0.00080891 1.85293214625e-06 10000 2332
05 0.40 86.8531 0.289820838792 10000 824
06 0.40 73.7412 0.247962634554 10000 923
08 0.40 54.59444 0.174000104149 10000 1097
10 0.40 41.66033 0.158409345706 10000 1192
15 0.40 22.79043 0.0731017040726 10000 1759
18 0.40 16.32023 0.0402869553137 10000 2040
20 0.40 13.10241 0.0324427554232 10000 2114
25 0.40 7.68629 0.0172425018083 10000 2360
30 0.40 4.520701 0.0096440033029 10000 2349
35 0.40 2.626201 0.00557743211825 10000 2277
40 0.40 1.496526 0.00301014722691 10000 2693
50 0.40 0.430428 0.000940635224974 10000 3254
60 0.40 0.0955269 0.000172889923194 10000 2950
70 0.40 0.01318126 2.85138722186e-05 10000 2319
05 0.70 263.8116 0.826471271391 10000 822
06 0.70 224.0486 0.815218494982 10000 874
08 0.70 167.1009 0.557373071873 10000 1020
10 0.70 126.9843 0.423419197426 10000 1168
15 0.70 69.29088 0.222473244247 10000 1695
18 0.70 49.12582 0.140520869923 10000 1954
20 0.70 39.65686 0.115626263566 10000 2141
25 0.70 23.22887 0.0610215342824 10000 2396
30 0.70 13.60709 0.0332959460164 10000 2388
35 0.70 7.89845 0.0180986746401 10000 2268
40 0.70 4.50895 0.0120428755574 10000 2713
50 0.70 1.294088 0.00254445074324 10000 3193
60 0.70 0.2895773 0.00062844968905 10000 2904
70 0.70 0.04317051 9.10563369255e-05 10000 2359
