# MU g width error Nb_pass_M4l Nb_pass_all
10 0.01 1.39480994548e-05 4.25357369469e-08 10000 2588
10 0.10 0.000186194608154 5.51929684565e-07 10000 2905
10 0.40 0.0027839175492 1.0734503379e-05 10000 2894
10 0.70 0.00844783802247 2.45821726081e-05 10000 2971
05 0.01 1.59060578125e-05 5.14485236445e-08 10000 2397
05 0.02 2.68254702266e-05 7.87765905271e-08 10000 2137
05 0.05 0.000103973322145 3.32070648982e-07 10000 1986
05 0.10 0.000379212864213 1.1206308051e-06 10000 1937
05 0.15 0.000835812112458 2.28496220788e-06 10000 1893
05 0.20 0.00148990417598 4.23430224271e-06 10000 1971
05 0.25 0.00231027526266 8.35266611442e-06 10000 1966
05 0.30 0.0033077483078 1.00531928342e-05 10000 1945
05 0.35 0.00450264096055 1.27419305511e-05 10000 1911
05 0.40 0.00582966536394 1.64074805295e-05 10000 1922
05 0.45 0.00738277406844 2.59440968681e-05 10000 1999
05 0.50 0.00914930826988 3.02080588918e-05 10000 1866
05 0.60 0.0131563084052 3.70829031482e-05 10000 1983
05 0.70 0.0178066500083 5.39924420117e-05 10000 1981
40 0.01 1.23038302927e-05 4.00929249527e-08 10000 2520
40 0.02 1.24439485906e-05 3.86577926347e-08 10000 2575
40 0.05 1.3711160227e-05 4.01248591515e-08 10000 2876
40 0.10 1.81471947148e-05 4.41583725969e-08 10000 3651
40 0.15 2.56096781732e-05 6.03325228271e-08 10000 4519
40 0.20 3.60493741e-05 7.89939311803e-08 10000 4989
40 0.25 4.92903024426e-05 8.593130858e-08 10000 5354
40 0.30 6.5524530089e-05 1.23613253652e-07 10000 5653
40 0.35 8.46914698701e-05 1.52306328e-07 10000 5795
40 0.40 0.00010656003724 2.16728273715e-07 10000 5896
40 0.45 0.000131676594086 2.20566266155e-07 10000 6057
40 0.50 0.00015941084918 3.14756017729e-07 10000 6173
40 0.60 0.000222553345657 3.55482477197e-07 10000 6226
40 0.70 0.000296788644887 4.76430337925e-07 10000 6357
70 0.01 1.22110084476e-05 3.44870496467e-08 10000 2536
70 0.02 1.2233072891e-05 3.97188815703e-08 10000 2473
70 0.05 1.21824522245e-05 3.91278262072e-08 10000 2510
70 0.10 1.22178786091e-05 3.67610549409e-08 10000 2532
70 0.15 1.23202600639e-05 3.27889428173e-08 10000 2449
70 0.20 1.22857851997e-05 4.02898499145e-08 10000 2605
70 0.25 1.23811603979e-05 3.83602315546e-08 10000 2604
70 0.30 1.24107265891e-05 3.53653379149e-08 10000 2569
70 0.35 1.25200467702e-05 4.14610389824e-08 10000 2688
70 0.40 1.25470992138e-05 3.95347566071e-08 10000 2643
70 0.45 1.27440011599e-05 3.98132889114e-08 10000 2822
70 0.50 1.28775846581e-05 3.63918642717e-08 10000 2820
70 0.60 1.32549290188e-05 3.91553483801e-08 10000 3034
70 0.70 1.36910740298e-05 4.09310597944e-08 10000 3124
10 0.02 1.90863465975e-05 6.59844691775e-08 10000 2543
10 0.05 5.55952269024e-05 1.44942212481e-07 10000 2846
10 0.15 0.000400527228543 1.2375307319e-06 10000 2799
10 0.20 0.00070131454296 2.43626321056e-06 10000 2886
10 0.25 0.00109460336718 3.72255857882e-06 10000 2908
10 0.30 0.00157138702627 5.58676458757e-06 10000 2859
10 0.35 0.00212395609844 6.24359732822e-06 10000 2740
10 0.45 0.00350928657246 1.00216409802e-05 10000 2882
10 0.50 0.00433866041728 1.25220277032e-05 10000 2881
10 0.60 0.00621736694821 1.7629279488e-05 10000 2939
