# MU g width error Nb_pass_M4l Nb_pass_all
05 0.01 1.58581239653e-05 5.37762857821e-08 10000 2403
06 0.01 1.52956641305e-05 5.0232151666e-08 10000 2379
08 0.01 1.44933427413e-05 3.94266129492e-08 10000 2538
10 0.01 1.39480994548e-05 4.25357369469e-08 10000 2588
15 0.01 1.31274093055e-05 3.60429058164e-08 10000 2593
18 0.01 1.29567668609e-05 3.53335560731e-08 10000 2679
20 0.01 1.27715632514e-05 3.5393158888e-08 10000 2571
25 0.01 1.25005412727e-05 4.07383209891e-08 10000 2575
30 0.01 1.23361430277e-05 4.01019063004e-08 10000 2577
35 0.01 1.22989587103e-05 3.84453463597e-08 10000 2539
40 0.01 1.23015844269e-05 3.61074503425e-08 10000 2540
50 0.01 1.22203783034e-05 4.04698240473e-08 10000 2572
60 0.01 1.21080042482e-05 3.45657284671e-08 10000 2497
70 0.01 1.21844085896e-05 3.52194445798e-08 10000 2557
05 0.10 0.000378669385081 1.17890422596e-06 10000 1871
06 0.10 0.000320775293068 9.94059426867e-07 10000 2087
08 0.10 0.000240287888324 8.42674386173e-07 10000 2408
10 0.10 0.000186194608154 5.51929684565e-07 10000 2905
15 0.10 0.000106091173183 2.66221512226e-07 10000 3933
18 0.10 7.92356567226e-05 1.8106505844e-07 10000 4425
20 0.10 6.59706181495e-05 1.54641665757e-07 10000 4666
25 0.10 4.35232280388e-05 9.71899080191e-08 10000 4787
30 0.10 3.05638430198e-05 6.08685637148e-08 10000 4464
35 0.10 2.28102174915e-05 5.40863616268e-08 10000 3854
40 0.10 1.8198237866e-05 4.60860401666e-08 10000 3678
50 0.10 1.386630633e-05 4.4835310849e-08 10000 3098
60 0.10 1.25311132149e-05 4.06383688494e-08 10000 2666
70 0.10 1.22926706276e-05 3.17434980025e-08 10000 2566
05 0.40 0.00588955586628 1.81481823791e-05 10000 1966
06 0.40 0.00493905255562 1.80121762942e-05 10000 2123
08 0.40 0.00363869767478 1.29829909183e-05 10000 2520
10 0.40 0.0027839175492 1.0734503379e-05 10000 2894
15 0.40 0.001510322158 3.20277633251e-06 10000 4115
18 0.40 0.0010775315276 2.79993873949e-06 10000 4777
20 0.40 0.000868997718074 1.78124528006e-06 10000 4969
25 0.40 0.000513119406662 9.42348029419e-07 10000 5529
30 0.40 0.000304677663145 5.21533184566e-07 10000 5554
35 0.40 0.000180424284452 2.70757202552e-07 10000 5139
40 0.40 0.000106624438781 2.180313544e-07 10000 5976
50 0.40 3.82817513269e-05 6.67461653421e-08 10000 5987
60 0.40 1.74000853238e-05 4.12167129533e-08 10000 3797
70 0.40 1.26746417498e-05 4.00603191498e-08 10000 2634
05 0.70 0.0178372227025 5.40435669316e-05 10000 1885
06 0.70 0.0151008708969 4.92213670035e-05 10000 2065
08 0.70 0.0110981756481 3.46132918724e-05 10000 2503
10 0.70 0.00844783802247 2.45821726081e-05 10000 2971
15 0.70 0.00455173865149 1.16047236624e-05 10000 4231
18 0.70 0.00325280660548 6.27600875025e-06 10000 4716
20 0.70 0.00261048330638 5.33075958126e-06 10000 5120
25 0.70 0.00151853112303 2.68641819641e-06 10000 5684
30 0.70 0.000893516809597 1.70412317768e-06 10000 5634
35 0.70 0.000519101269681 7.34388855857e-07 10000 5484
40 0.70 0.000296111739729 5.12896053717e-07 10000 6343
50 0.70 9.04667043068e-05 1.52819995003e-07 10000 6810
60 0.70 2.78875427012e-05 6.05213562672e-08 10000 5136
70 0.70 1.36487420549e-05 4.24771968106e-08 10000 3090
